title,ingredients,ingredient
Microwave Chocolate Pudding Cake,"['Nonstick cooking spray', '3/4 cup all-purpose flour', '1 cup packed light brown sugar', '1/2 cup unsweetened cocoa powder (not Dutch process)', '1/2 teaspoon baking soda', 'Kosher salt', '2/3 cup buttermilk', '1/4 cup vegetable oil', '1 teaspoon pure vanilla extract', 'Vanilla ice cream, for serving']","['Nonstick cooking spray', 'all-purpose flour', 'packed light brown sugar', 'unsweetened cocoa powder (not Dutch process)', 'baking soda', 'Kosher salt', 'buttermilk', 'vegetable oil', 'pure vanilla extract', 'Vanilla ice cream, for serving']"
Mocha Chocolate Icebox Cake,"['2 cups cold heavy cream', '12 ounces Italian mascarpone cheese', '1/2 cup sugar', '1/4 cup coffee liqueur, such as Kahlua', '2 tablespoons unsweetened cocoa powder, such as Pernigotti', '1 teaspoon instant espresso powder', '1 teaspoon pure vanilla extract', ""3 (8-ounce) packages chocolate chip cookies, such as Tate's Bake Shop"", 'Shaved semisweet chocolate, for garnish']","['cold heavy cream', 'Italian mascarpone cheese', 'sugar', 'coffee liqueur, such as Kahlua', 'unsweetened cocoa powder, such as Pernigotti', 'instant espresso powder', 'pure vanilla extract', ""(8-ounce) packages chocolate chip cookies, such as Tate's Bake Shop"", 'Shaved semisweet chocolate, for garnish']"
Old-Fashioned Banana Cake,"['3 very ripe bananas, mashed', '3/4 cup granulated sugar', '1/2 cup light brown sugar, lightly packed', '1/2 cup vegetable oil', '2 extra-large eggs, at room temperature', '1/2 cup sour cream', '1 teaspoon pure vanilla extract', 'Grated zest of 1 orange', '2 cups all-purpose flour', '1 teaspoon baking soda', '1/2 teaspoon kosher salt', '1/2 cup coarsely chopped walnuts (optional)', 'Cream Cheese Frosting, recipe follows', 'Walnut halves, for decorating (optional)', '6 ounces cream cheese, at room temperature', '6 tablespoons (3/4 stick) unsalted butter, at room temperature', '1 teaspoon pure vanilla extract', ""2 1/2 cups sifted confectioners' sugar (1/2 pound)""]","['ripe bananas, mashed', 'granulated sugar', 'light brown sugar, lightly packed', 'vegetable oil', '-large eggs, at room temperature', 'sour cream', 'pure vanilla extract', 'Grated zest of 1 orange', 'all-purpose flour', 'baking soda', 'kosher salt', 'coarsely chopped walnuts (optional)', 'Cream Cheese Frosting, recipe follows', 'Walnut halves, for decorating (optional)', 'cream cheese, at room temperature', '(3/4 stick) unsalted butter, at room temperature', 'pure vanilla extract', ""1/2 cups sifted confectioners' sugar (1/2 pound)""]"
Orange Pound Cake,"['1/2 pound (2 sticks) unsalted butter, at room temperature', '2 1/2 cups granulated sugar, divided', '4 extra-large eggs, at room temperature', '1/3 cup grated orange zest (6 oranges)', '3 cups all-purpose flour', '1/2 teaspoon baking powder', '1/2 teaspoon baking soda', '1 teaspoon kosher salt', '3/4 cup freshly squeezed orange juice, divided', '3/4 cup buttermilk, at room temperature', '1 teaspoon pure vanilla extract', ""1 cup confectioners' sugar, sifted"", '1 1/2 tablespoons freshly squeezed orange juice']","['(2 sticks) unsalted butter, at room temperature', '1/2 cups granulated sugar, divided', '-large eggs, at room temperature', 'grated orange zest (6 oranges)', 'all-purpose flour', 'baking powder', 'baking soda', 'kosher salt', 'freshly squeezed orange juice, divided', 'buttermilk, at room temperature', 'pure vanilla extract', ""confectioners' sugar, sifted"", '1/2 tablespoons freshly squeezed orange juice']"
Popcorn Cake,"['1 bag microwave kettle popcorn', '1/4 cup (1/2 stick) unsalted butter, plus more for greasing the pan', '2 cups marshmallows', '3/4 cup candy coated chocolate']","['microwave kettle popcorn', '(1/2 stick) unsalted butter, plus more for greasing the pan', 'marshmallows', 'candy coated chocolate']"
Red Velvet Cake,"['Cake:', '1/2 cup shortening', '1 1/2 cups white sugar', '2 eggs', '2 tablespoons cocoa', '4 tablespoons red food coloring', '1 teaspoon salt', '1 teaspoon vanilla extract', '1 cup buttermilk', '2 1/2 cups sifted all-purpose flour', '1 1/2 teaspoons baking soda', '1 tablespoon distilled white vinegar', 'Icing:', '5 tablespoons all-purpose flour', '1 cup milk', '1 cup white sugar', '1 cup butter, room temperature', '1 teaspoon vanilla extract']","['Cake:', 'shortening', '1/2 cups white sugar', '', 'cocoa', 'red food coloring', 'salt', 'vanilla extract', 'buttermilk', '1/2 cups sifted all-purpose flour', '1/2 teaspoons baking soda', 'distilled white vinegar', 'Icing:', 'all-purpose flour', 'milk', 'white sugar', 'butter, room temperature', 'vanilla extract']"
Red Velvet Sheet Cake with Classic Red Velvet Frosting,"['Nonstick baking spray', '2 1/2 cups cake flour', '1 teaspoon salt', '1 cup buttermilk', '1 teaspoon vanilla extract', '1 teaspoon baking soda', '2 whole eggs', '1 1/2 teaspoons vinegar', '1 1/2 teaspoons cocoa powder', '1 1/2 fluid ounces red food coloring', '1 cup shortening', '1 3/4 cup granulated sugar', '1 cup whole milk', '5 tablespoons all-purpose flour', '1 teaspoon vanilla extract', '2 sticks unsalted butter', '1 cup granulated sugar', '2 cups raspberries']","['Nonstick baking spray', '1/2 cups cake flour', 'salt', 'buttermilk', 'vanilla extract', 'baking soda', 'eggs', '1/2 teaspoons vinegar', '1/2 teaspoons cocoa powder', '1/2 fluid ounces red food coloring', 'shortening', '3/4 cup granulated sugar', 'whole milk', 'all-purpose flour', 'vanilla extract', 'unsalted butter', 'granulated sugar', 'raspberries']"
Rum Cake - Semi-Homemaker Recipe,"['1 1/2 cups pecan pieces, reserve 1/4 cup', '4 whole eggs', '1/2 cup water', '1/2 cup canola oil', '1/2 cup gold rum, Bacardi', '1 (18.25-ounce) box classic yellow cake mix (recommended: Duncan Hines Moist Deluxe)', '1 (1-ounce) small box sugar-free instant vanilla pudding mix (recommended: Jell-O)', '1 cup granulated sugar', '1/4 cup water', '1 stick butter', '1/2 cup gold rum (recommended: Bacardi)']","['1/2 cups pecan pieces, reserve 1/4 cup', 'eggs', 'water', 'canola oil', 'gold rum, Bacardi', '(18.25-ounce) box classic yellow cake mix (recommended: Duncan Hines Moist Deluxe)', '(1-ounce) small box sugar-free instant vanilla pudding mix (recommended: Jell-O)', 'granulated sugar', 'water', 'butter', 'gold rum (recommended: Bacardi)']"
Sicilian Love Cake,"['1 box chocolate cake mix, plus the ingredients called for in the directions', 'Canola oil, for preparing the pan', '28 ounces ricotta cheese (3 1/2 cups)', '4 ounces mascarpone (1/2 cup)', '3 large eggs', '3/4 cup sugar', '1/8 teaspoon kosher salt', '10 ounces mascarpone (1 1/4 cups)', '1 cup whole milk', 'One 3.9-ounce box instant chocolate pudding mix', '1 tablespoon sugar']","['chocolate cake mix, plus the ingredients called for in the directions', 'Canola oil, for preparing the pan', 'ricotta cheese (3 1/2 cups)', 'mascarpone (1/2 cup)', 'eggs', 'sugar', 'kosher salt', 'mascarpone (1 1/4 cups)', 'whole milk', 'One 3.9-ounce box instant chocolate pudding mix', 'sugar']"
Sigrid's Carrot Cake,"['2 cups granulated sugar', '1 cup vegetable oil', '4 whole eggs', '2 cups all-purpose flour, plus more for dusting', '1 teaspoon baking powder', '1 teaspoon baking soda', '1 teaspoon ground cinnamon', '1/2 teaspoon salt', '2 cups grated carrots', 'Butter, for greasing', '1 stick butter, softened', '1 package (8 ounces) cream cheese, softened', '1 pound powdered sugar', '2 teaspoons vanilla extract', '1 cup pecans, chopped finely']","['granulated sugar', 'vegetable oil', 'eggs', 'all-purpose flour, plus more for dusting', 'baking powder', 'baking soda', 'ground cinnamon', 'salt', 'grated carrots', 'Butter, for greasing', 'butter, softened', '(8 ounces) cream cheese, softened', 'powdered sugar', 'vanilla extract', 'pecans, chopped finely']"
